atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
7.4,Bandar Seri Begawan,8.9,Brunei,"AE Backpackers Hostel is located in between the city of Bandar Seri Begawan and Gadong area. All Major Business, financial, entertainment and shopping mall areas are around. Seri Qlap Mall is also a popular place boasting a variety of eateries an boutiques, as well as a multiplex cinema. You can take a walk for 10 minutes to Jubilee park, provides a plethora of recreational facilities such as jogging trail, children playground and is known to be great place to have photoshoot session. The Jame' Asr Hassanil Bolkiah Mosque is a mosque in Bandar Seri Begawan, Brunei. It is one of the two national mosques, the other being Omar Ali Saifuddien Mosque, its takes 15 min by walking. 10-minute drive away from Brunei International Airport. We provide dorm room. Free wifi features the whole property. ***Property Policies & Conditions: 1. Cancellation policy: 1 day before arrival. 2. Check in from 14:00 3. Check out before 12:00 am. 4. Payment upon arrival by cash only. 5. Reception working hours: 24 hours. 6. Age restriction: guests should be over 18 years. 7. Taxes included. 8. Breakfast included/ available. 9. No pets. 10. No curfew. 11. No smoking area.  View House Rules  ",unknown,8.5,Hostel,8.0,AE Backpackers Hostel,US$6.65,8.6,Fabulous,158,8.5,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Book Exchange, Cable TV, Cooker, Dryer, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Outdoor Terrace, Parking, Reading Light, Safe Deposit Box, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Laundry Facilities, Reception (limited hours), Tours/Travel Desk, Wake-up calls, Mini-Supermarket, Tea & Coffee Making Facilities, DVD's, Wi-Fi",9.6,9.3
8.0,Bandar Seri Begawan,8.0,Brunei,"Badi’ah Hotel welcomes guests with an outdoor swimming pool and 2 restaurants. Only a 10-minute walk from the beautiful Kampong Ayer (Water Village), the property also offers free Wi-Fi access at all areas. Just 15 minutes away by car from Royal Brunei International Airport, Badi’ah Hotel is also 21 km from Muara Harbour and 800 metres from Sultan Omar Ali Saifuddien Mosque. It offers airport shuttle services at a surcharge. The rooms are cosy and elegantly furnished. Each room is fitted with a flat-screen TV, air conditioning and an electric kettle. En suite bathrooms come with hot-water showers. At Badi’ah Hotel, you will find a 24-hour front desk. Free parking facilities are provided for guests who drive. You can also utilize the meeting/banquet facilities and laundry/dry-cleaning services. A variety of local and international cuisines can be enjoyed at Badi’ah Restaurant while Delifrance serves fresh sandwiches and pastries. Property Policy and Conditions: 1. Check in Time: after 14:00 hours 2. Check out Time: before 12:00 hours 3. Late cancellation: - For any individual or Group requiring a late check-out up to 18:00 hours, BND$10.00 per hour will be charged on extended hour and subject to availability. - For check out after 18:00 hours, a full night’s rate will apply. Both of these facilities are subject to availability based on the arrival patterns at the hotel on the day. 4. Both cash and credit card payments are acceptable upon check in at the property. 5. At least 3 days advance notice for free cancellation.  View House Rules  ",unknown,6.0,Hotel,10.0,Badi'ah Hotel,US$34.54,8.0,Fabulous,2,8.0,"Free Airport Transfer, Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Air Conditioning, Cable TV, Card Phones, Cots Available, Elevator, Hair Dryers, Key Card Access, Meeting Rooms, Outdoor Swimming Pool, Parking, Reading Light, Safe Deposit Box, Swimming Pool, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Airport Transfers, ATM, Business Centre, Housekeeping, Internet Access, Late check-out, Luggage Storage, Reception (limited hours), Café, Restaurant, Tea & Coffee Making Facilities",8.0,8.0
,Bandar Seri Begawan,,Brunei,"Feels at Home When You are Away! Enjoy the sprawling flowery spaces at the beautiful garden, to the stunning sunset and sunrise view in the neighborhood. Co.Living is a shared housing designed to support a purpose-driven life. A lifestyle that values openness, sharing, and collaboration blend with Brunei local culture. Co.Living is for people who want a home environment that actively supports them in living with purpose and intention. People who choose Co.Living include professionals, makers, entrepreneurs, artists, and creatives, travellers and anyone in between. What we Offer? We are now open to rent our rooms to long term tenants and short term guests. Our short term guest are now able to book room on daily, weekly and month to month basis or long term rentals. TOUR PACKAGE AND TRANSPORTATION We arrange tour package to Ulu Temburong National Park, and all MUST visit attractions including to the King Palace :) We do provide transportation service in Brunei at a good and affordable rate (much lower than a taxi!)  View House Rules  ",unknown,,Bed and Breakfast,,Co.Living Suite,US$13.39,,No Rating,0,,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Breakfast Not Included, Housekeeping, Wi-Fi",,
,Bandar Seri Begawan,,Brunei,"Is the best location in town. Our rest house located next to the main bus terminal and opposite water village. All the tourist points are in walking distance between 5 to 15 mins such as royal regalia museum, eco park, omar mosque, history museum and some local food restaurants. You can easily get a public bus transport to go night market gadong, brunei international airport and some others places which only cost you b$1.00 per person for the lowest price. Our room are clean and cozy with Free WiFi. ***Property Policies & Conditions: 1. Cancellation policy: At least 1 day advance notice for cancellation, otherwise, you need to pay first night balance as late cancellation fee/no show fee. 2. Check in from 13:00 to 23:00. 3. Check out before 13:00. 4. Payment upon arrival by cash only. 5. Taxes included. 6. Breakfast included. 7. NO smoking in Room, but have smoking area. 8. Age restriction: 19+. 9. Reception working hours 09:00-23:00.  View House Rules  ",unknown,,Hostel,,Qing yun Backpacker lodge,US$15.51,,No Rating,0,,"Free Breakfast, Free WiFi, Linen Included, Towels Included, Air Conditioning, Hair Dryers, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Security Lockers, Washing Machine, Housekeeping, Internet Access, Laundry Facilities, Reception (limited hours), Wi-Fi",,
8.5,Bandar Seri Begawan,9.0,Brunei,"MONTH OF CELEBRATION Villa Dadap celebrates her 2 years anniversary this month with different offers and activities. If you book now you will receive free dinner and free transport from the city center back to the villa every evening. We offer different activities, for example a cooking class and different city tours, ask us for the possibilities. Free Transportation on Arrival from the Airport and Bus Terminal Free Breakfast and Dinner Very clean rooms Free linen Free towels Free city maps Free luggage storage on arrival and departure Free local phone calls Free reservation for museums Free Wi Fi Keys for your room Total security (i sleep in the same place) I take care of everything you need Villa Dadap is idealy located, in Jalan Dadap,in a peacefuly green and clean area  of the city, with minutes driving distance from all major atractions. It has 7 rooms that range from queen doubles to 4-bed rooms. All rooms are garden facing and all with Air Condition and fan. The hostel has a large common area for eating breakfast and it is surrounded by huge garden where you can enjoy a drink or just chill out on a warm afternoon. There is a TV lounge area as well as a chill-out area in front of the reception. The hostel also offers free Wi-Fi, a couple of internet computers and it is open 24 hours a day. Guest will be required to show an official ID with photo at upon arrival. Person under the age of 18 years are only allowed to stay in private rooms or dormitory rooms that are booked for use of one family or group of persons, and can't share a dormitory rooms with other guests. People under 18 years of age must travel with their parents or legal guardian.  View House Rules  ",unknown,9.0,Hostel,7.5,Villa Dadap,US$13.74,8.6,Fabulous,117,9.0,"Free Airport Transfer, Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Adaptors, Air Conditioning, BBQ, Bicycle Parking, Book Exchange, Cable TV, Card Phones, Ceiling Fan, Common Room, Cooker, Dryer, Elevator, Fitness Centre, Fridge/Freezer, Hair Dryers, Hair Dryers For Hire, Hot Showers, Hot Tub, Iron / Ironing Board, Key Card Access, Meeting Rooms, Microwave, Outdoor Terrace, Parking, Reading Light, Security Lockers, Self-Catering Facilities, Utensils, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Bicycle Hire, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Tours/Travel Desk, Cafe, Meals Available, Mini-Supermarket, Tea & Coffee Making Facilities, Vending Machines, DVD's, Foosball, Games Room",8.5,9.0
6.0,Bandar Seri Begawan,10.0,Brunei,"LeGallery Suites Hotel is strategically located near several places of interests (i.e Omar Ali Mosque, Eco-Corridor Park, Water Village, Royal Regalia Museum and etc) and is approximately 5 minutes away from the city center, Bandar Seri Begawan. The hotel offers the basic comfort of a home that would suit your needs and free WiFi is available in all rooms. From Brunei International airport it only takes 10 minutes from the property. ***Property Policies & Conditions: 1. Cancellation policy: At least 2 days advance notice for cancellation, otherwise, you need to pay first night balance as late cancellation fee/no show fee. 2. Check in from 14:00. 3. Check out before 12:00 noon. 4. Payment upon arrival by cash and Card. 5. Taxes included. 6. Breakfast not included. 7. No Smoking in the whole hostel. 8. Age restriction: The minimum age for check-in is 18. 9. Reception working 24 hours.  View House Rules  ",unknown,6.0,Hotel,8.0,Legallery Suites Hotel,US$8.46,8.0,Fabulous,1,8.0,"Free City Maps, Free WiFi, Towels Included, Adaptors, Air Conditioning, Breakfast Not Included, Cable TV, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Parking, Safe Deposit Box, 24 Hour Reception, Airport Transfers, Housekeeping, Luggage Storage, Wake-up calls, Restaurant, Wi-Fi",10.0,8.0
7.7,Bandar Seri Begawan,8.9,Brunei,"This is a hostel equipped with basics such as a small pantry, TV, DVD player, WiFi and private toilet. A common laundry space is available. This is hostel located 2nd floor, convenient to Commercial area, shops, malls, cafe, restaurant and cinema. the concept is 1 Bunk bed chargeable for 1 person/per night. If you are from the airport, and opting for TAXI or DART (a local service much like Uber/Grab) drivers, do tell them to go to KIULAP's (pronounced as Q-LAP) KFC branch right in front of Kiulap's Hua Ho Department Store. If you are from the bus station, do use bus number 20 (TWENTY) as it will take you from the city of Bandar Seri Begawan to Kiulap area. Do tell the bus conductor that you would like to be dropped off near the Kiulap's KFC/Hua Ho department store. They will attend to you accordingly. Our premise is on the second floor, up the stairs right next to Kiulap's KFC. Look out for our sign BWN BED STATION. We are hard to miss! ****Property Policies & Conditions: 1. Cancellation policy: 3 days before arrival. 2. Check in from 9:00 to 23:00. 3. Check out before 14:00 noon. 4. Payment upon arrival by cash only. 5. Reception working hours 09:00-23:00. 6. Age Restriction:18+. 7. Taxes included. 8. Breakfast included. 9. No pets. 10. Curfew: guests should be quiet after 24:00.  View House Rules  ",unknown,8.0,Hostel,7.7,BWN Bed Station,US$10.57,8.4,Fabulous,48,8.6,"Free Breakfast, Free Internet Access, Free WiFi, Towels Included, Adaptors, Air Conditioning, Bicycle Parking, Cable TV, Common Room, Dryer, Fridge/Freezer, Hot Showers, Key Card Access, Microwave, Security Lockers, Self-Catering Facilities, Washing Machine, 24 Hour Security, Airport Transfers, ATM, Currency Exchange, Direct Dial Telephone, Express check-in / out, Fax Service, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Wake-up calls, Mini-Supermarket, Restaurant, Tea & Coffee Making Facilities, Board Games, DVD's, Games Room, Wi-Fi",9.1,8.9
6.0,Bandar Seri Begawan,6.0,Brunei,"Co.Living by PayGlass. All guests staying at Co.Living will have FREE access to our co-working spaces Offices in a Garden & Co.Circle. Co.Living Saga is located next to Offices in Garden. Our spaces are suitable for digital nomads and travelers who do not mind to use taxi, Dart or paid pick up service as the location is not exactly in the city centre and you will need to walk 20/30 minutes for a bus. However, it is located in a commercial building with restaurants and gym downstairs. Located in lush greenery environment in front of Tunku Link Highway. We have a pantry and you can cook. Co.Living Saga is a shared housing designed to connect international travelers with locals. A lifestyle that values openness, sharing, and collaboration blend with Brunei local culture. Co.Living Saga has 1 dormitory room - DORM A & 1 private room called (DORM B). 6 guests can stayed in DORM A. 2 guests can stay in DORM B. Our client are long-term tenants staying in private rooms, Bruneian working professionals. Benefits For long term tenants: You will get a chance to connect with international guest from different countries. It is always good to learn, unwind and engage with people from different background and culture. For international guests: You will get a chance to connect & be friend with the locals. If you are lucky, they will take you for a ride, hang out or maybe grab a meal together! TOUR PACKAGE AND TRANSPORTATION We arrange tour package to Ulu Temburong National Park, and all MUST visit attractions including to the King Palace :) We do provide transportation service in Brunei at a good and affordable rate (much lower than a taxi!) So say hi and hello to each other :)  View House Rules  ",unknown,6.0,Hostel,6.0,Co.Living Saga,US$6.34,6.6,Good,8,10.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Adaptors, Air Conditioning, Bicycle Parking, Breakfast Not Included, Card Phones, Common Room, Cooker, Elevator, Fitness Centre, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Microwave, Parking, Security Lockers, Self-Catering Facilities, Towels Not Included, Washing Machine, Express check-in / out, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Reception (limited hours), Towels for hire, Cafe, Restaurant, Tea & Coffee Making Facilities, Wi-Fi",6.0,6.0
9.0,Bandar Seri Begawan,9.5,Brunei,"FEELS AT HOME WHEN YOU ARE AWAY (while you travelling). Hey hey, Welcome to Brunei! Co.Living Hostel is located above Co.Circle (Co-working space - https://cocircles.co/) . Our guests at Co.Living Hostel will have FREE access to Co.Circle 24/7. If you are looking to make friends, feeling homes even just for a night - CO.LIVING Hostel is your place. We want you to feel at home the moment you step in here. Great laughs, never ending stories and games, meeting new travellers friends  - you will feel just right in here! Hot showers, complimentary tea and coffee, laundry service, FREE wifi (with limited quota)- couch, sofa, bar table we got you covered, making sure you have a pleasant stay!  Co.Living Hostel is located right in the heart of Gadong town, 10-15 minutes walking distance to the mall, Gadong. Near to the mall is the popular night market (GADONG NIGHT MARKET) - where you can grab almost everything for $1! The Bruneian foodies! The hostel itself is located above a restaurant, just go downstair to have Brunei popular 'NASI KATOK' for $1.50 or lunch at Al Akhbar restaurant for $1-$2! Yup, it is delicious and cheap! Travellers/Backpackers can expect an easy access around town - shops, restaurant, clinics, ATMs and BUS STOP is just 5 minutes away. FREE Wi-Fi, good stay experience in a fully furnished room. The hostel is decorated with green turf and LED lights, and all rooms are equipped with air-conditioned. Guests can use the kitchen for light cooking’s. There are 2 dormitories with 4 single beds respectively and two private rooms. Two bathrooms are available where we always make sure it is being clean everyday. The hostel is in a very strategic coordinate of Gadong. Co.Living Hostel is managed by PayGlass Company Sdn Bhd. TOUR PACKAGE AND TRANSPORTATION We arrange tour package to Ulu Temburong National Park, and all MUST visit  attractions including to the King Palace :) We do provide transportation  service in Brunei at a good and affordable rate (much lower than a taxi!)  View House Rules  ",unknown,8.5,Hostel,7.5,Co.Living Hostel,US$9.87,9.0,Superb,44,9.0,"Free City Maps, Free Internet Access, Free Parking, Free WiFi, Linen Included, Adaptors, Air Conditioning, Breakfast Not Included, Cooker, Fridge/Freezer, Hot Showers, Iron / Ironing Board, Key Card Access, Microwave, Parking, Towels Not Included, Utensils, Washing Machine, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Towels for hire, Cafe, Mini-Supermarket, Restaurant, Board Games, Wi-Fi",9.5,10.0
,Dili,,East Timor,"Timor Lodge Hotel and Residence is an iconic 3-star hotel nestled in the city of Dili. Opened in 2000, the hotel features verdant grounds and the iconic 144-sqm swimming pool. It is still recognize as one of the biggest in Dili. Situated in Dili, Timor Lodge offers an outdoor pool and fitness center. Free WiFi and free private parking are available. All units are air conditioned and include a seating area. Towels are provided. Timor Lodge also includes a barbecue. Guests can enjoy a meal at the on-site restaurant or a drink at the bar. The property also offers grocery delivery. The property offers a free airport shuttle service, on request, prior to arrival. This property is also rated for the best value in Dili! Guests are getting more for their money when compared to other properties in this city.  Beside our reception office sits the car rental company so, there won't be any problem for getting a transport for day tripping. We speak your language! Terms and conditions: Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 12:00 to 22:00 . Check out before 11:00 . Receptions hours: 07:00-22:00 Payment upon arrival by cash. Taxes included. Breakfast included. No curfew. Child friendly. Children aged 18 years and above are considered adults at this property. 0 - 1 year- Can use a cot or extra bed upon request: FREE 2 - 11 years-  Can use an extra bed upon request: US$10 per child, per night 12+ years-Can use an extra bed upon request: US$10 per child, per night Non smoking but have designated smoking area.  View House Rules  ",unknown,,Hotel,,Timor Lodge Hotel and Residence,US$22.25,,No Rating,0,,"Free Airport Transfer, Free WiFi, Linen Included, Towels Included, Outdoor Swimming Pool, 24 Hour Security, Housekeeping, Internet Access, Luggage Storage, Reception (limited hours), Shuttle Bus, Meals Available, Restaurant, Pool Table",,
,Dili,,East Timor,"Atauro Dive Resort is located at a walking distance to the market and the village.  Right in front of the resort is a nice reef where guests can go snorkeling. Apart from snorkeling we also offer scuba diving. Guests can watch amazing sunrise from the property. There is onsite restaurant at the property which offers tasty food at an affordable price. Homemade ice cream can also be enjoyed at the property. Atauro Dive Resort offers a serene environment where guests can enjoy their time and make good memories. At Atauro Dive Resort, you are treated as family! ***Property Policies & Conditions: 1. Cancellation policy: At least 3 days advance notice for cancellation, otherwise, you need to pay first night balance as late cancellation fee/no show fee. 2. Check in from 11:00 to 18:00. 3. Check out before 10:00 am. 4. Payment upon arrival by cash only. 5. Taxes included. 6. Breakfast included. 7. NO smoking in Room, but have smoking area 8. Reception working hours 08:00-18:00. 9. Child over 5 years pay full amount.  View House Rules  ",unknown,,Hostel,,Atauro Dive Resort,US$18.00,,No Rating,0,,"Free Breakfast, Free Parking, Linen Included, Towels Included, Adaptors, Bicycle Parking, Book Exchange, Common Room, Outdoor Terrace, Safe Deposit Box, Utensils, Washing Machine, 24 Hour Security, Bicycle Hire, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Meals Available, Restaurant, Tea & Coffee Making Facilities, Board Games",,
