atmosphere,city,cleanliness,country,facilities,location,name,rating,rating_cat,reviews,security,staff,value_for_money
,Hanoi,,Vietnam,,,Discovery,,No Rating,17,,,
,Hanoi,,Vietnam,,,Hanoi Elite Hotel,,No Rating,9,,,
,Hanoi,,Vietnam,,,VATC Sleep Pod Terminal 1,,No Rating,9,,,
,Hanoi,,Vietnam,,,Rising Dragon Villa Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Golden Silk Boutique Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,New Vision Palace Hotel,,No Rating,2,,,
,Hanoi,,Vietnam,,,La Maison Hostel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Tays Home,,No Rating,0,,,
,Hanoi,,Vietnam,,,Spoon Hotel,,No Rating,4,,,
,Hanoi,,Vietnam,,,Impressive Hotel,,No Rating,10,,,
,Hanoi,,Vietnam,,,Vision Premier Hotel & Spa,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi Avatar Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Lucky 2 Hotel,,No Rating,0,,,
10.0,Hanoi,8.0,Vietnam,8.0,10.0,Chio Hotel and Apartment,9.4,Superb,12,10.0,10.0,10.0
6.0,Hanoi,6.0,Vietnam,6.0,8.0,AZ Hanoi Hostel,6.6,Good,8,8.0,6.0,6.0
8.0,Hanoi,8.0,Vietnam,10.0,8.0,Flower Hostel,8.9,Fabulous,3,10.0,10.0,8.0
8.9,Hanoi,8.3,Vietnam,8.7,9.6,Hanoi Vietnam Backpacker Hostels Downtown,8.8,Fabulous,4741,8.8,8.7,8.8
8.8,Hanoi,9.6,Vietnam,9.1,9.9,O Quan Chuong Homestay and Coffee,9.4,Superb,16,9.4,9.4,9.5
7.2,Hanoi,7.6,Vietnam,8.2,9.3,Hay Hostel Hanoi Old Quarter,8.4,Fabulous,158,8.9,8.8,8.6
8.8,Hanoi,9.4,Vietnam,9.3,9.8,Luxury Backpackers,9.4,Superb,924,9.7,9.6,9.5
8.9,Hanoi,9.1,Vietnam,8.3,9.7,Hanoi Little Town Hotel,9.0,Superb,74,9.1,8.9,8.9
8.7,Hanoi,8.3,Vietnam,8.3,9.6,Flipside Hostel,8.7,Fabulous,1187,9.0,8.9,8.5
8.3,Hanoi,8.3,Vietnam,8.2,9.5,Hanoi City Backpackers Hostel,8.7,Fabulous,547,8.8,9.0,9.0
8.9,Hanoi,9.5,Vietnam,9.2,9.9,Nexy Hostel,9.5,Superb,1906,9.7,9.7,9.3
8.4,Hanoi,9.1,Vietnam,9.0,9.4,Vietnam Cheers Hostel,9.1,Superb,350,9.4,9.1,9.3
8.1,Hanoi,8.7,Vietnam,8.9,9.6,Hanoi Tomodachi House,9.0,Superb,776,9.0,9.6,9.3
7.7,Hanoi,8.1,Vietnam,8.5,9.2,Cocoon Inn II,8.6,Fabulous,243,9.1,9.1,8.8
7.4,Hanoi,9.4,Vietnam,8.6,9.1,Hanoi House Hostel & Travel,8.7,Fabulous,94,9.3,8.6,8.6
8.2,Hanoi,9.6,Vietnam,9.2,9.8,Hanoi Culture Hostel,9.4,Superb,225,9.8,9.6,9.6
9.1,Hanoi,9.8,Vietnam,9.3,10.0,Hanoi Unique Hotel,9.7,Superb,9,9.8,10.0,9.8
8.3,Hanoi,8.0,Vietnam,8.4,9.7,Old Quarter H&H Hostel,8.9,Fabulous,77,9.3,9.6,9.2
8.3,Hanoi,7.6,Vietnam,7.7,9.9,Halley Hostel,8.7,Fabulous,124,9.2,9.3,8.7
8.9,Hanoi,9.1,Vietnam,9.0,8.5,7 Fridays Hostel,9.1,Superb,358,9.6,9.2,9.1
7.5,Hanoi,7.8,Vietnam,7.8,9.2,Suite As Hostel,8.3,Fabulous,48,8.5,9.0,8.3
9.0,Hanoi,8.6,Vietnam,8.7,9.6,Hanoi Central Backpackers Hostel,9.1,Superb,4404,9.3,9.1,9.2
7.7,Hanoi,8.1,Vietnam,8.3,9.1,Hanoi Amazing Hostel,8.4,Fabulous,219,8.6,8.7,8.5
9.0,Hanoi,9.8,Vietnam,9.5,9.8,Little Charm Hanoi Hostel,9.6,Superb,1218,9.7,9.4,9.6
8.9,Hanoi,10.0,Vietnam,9.7,7.9,Chipâ€™s House,9.4,Superb,27,9.9,9.7,9.8
8.6,Hanoi,8.8,Vietnam,8.9,9.8,Cocoon Inn Hanoi,9.1,Superb,1959,9.5,9.3,9.1
9.1,Hanoi,9.4,Vietnam,9.1,9.8,Old Quarter View Hanoi Hostel,9.4,Superb,3206,9.6,9.4,9.4
8.1,Hanoi,9.3,Vietnam,8.9,9.7,Hanoi Old Quarter Hostel,9.3,Superb,513,9.6,9.9,9.4
8.3,Hanoi,9.1,Vietnam,8.9,9.5,Backy Poshtel,9.1,Superb,135,9.4,9.2,9.4
8.5,Hanoi,8.5,Vietnam,8.6,9.4,Babylon Garden Hostel,8.9,Fabulous,1348,9.4,9.0,8.8
8.5,Hanoi,8.9,Vietnam,8.4,9.3,Hanoi Wonderland Homestay,8.9,Fabulous,12,8.7,9.8,8.9
9.1,Hanoi,9.1,Vietnam,9.1,9.3,Republik Backpackers Hostel,9.3,Superb,1516,9.3,9.6,9.4
9.0,Hanoi,8.9,Vietnam,9.1,9.7,Hanoi Buffalo Hostel,9.3,Superb,864,9.5,9.4,9.3
8.4,Hanoi,8.4,Vietnam,9.1,9.3,Hanoi Centre Hostel,8.9,Fabulous,260,9.1,8.7,9.1
7.5,Hanoi,6.5,Vietnam,7.5,8.5,Bubba Bed Hostel,8.0,Fabulous,112,8.5,9.0,8.5
6.6,Hanoi,8.6,Vietnam,8.3,8.9,See You At Lily's,8.4,Fabulous,201,8.6,9.4,8.6
7.5,Hanoi,8.0,Vietnam,8.5,9.8,Hanoi High Five hostel,8.3,Fabulous,43,9.0,6.8,8.5
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Royal Holiday Hanoi Hotel,9.7,Superb,168,8.0,10.0,10.0
6.2,Hanoi,7.0,Vietnam,7.0,9.2,Hanoi Paraiso Hostel & Travel,7.7,Very Good,25,7.8,8.4,8.0
7.1,Hanoi,7.4,Vietnam,7.5,8.7,Hanoi Backpackersuite Hostel,7.7,Very Good,172,8.0,8.0,7.5
8.0,Hanoi,7.8,Vietnam,7.5,8.2,Hanoian Backpack Hostel,8.0,Fabulous,18,8.2,8.5,8.2
3.0,Hanoi,3.0,Vietnam,3.0,5.0,Daisy Hostel,3.9,Rating,215,4.0,4.0,5.0
6.8,Hanoi,7.5,Vietnam,7.7,9.8,Little Night Hanoi Hostel,8.3,Fabulous,25,8.9,9.1,8.3
6.0,Hanoi,5.3,Vietnam,7.3,9.3,Ubuntu Hostel,7.7,Very Good,10,9.3,8.7,8.0
9.0,Hanoi,10.0,Vietnam,9.0,10.0,Little Diamond Hotel 2,9.7,Superb,765,10.0,10.0,10.0
7.0,Hanoi,9.0,Vietnam,7.0,10.0,Zim's House Hostel,8.4,Fabulous,25,8.0,9.0,9.0
5.8,Hanoi,7.0,Vietnam,7.3,9.0,Little Hanoi Hostel,7.6,Very Good,2049,8.5,7.8,8.0
,Hanoi,,Vietnam,,,B&B HANOI HOTEL & TRAVEL,,No Rating,321,,,
8.0,Hanoi,9.3,Vietnam,8.7,10.0,Hanoi King Ly Hotel,9.0,Superb,331,10.0,8.7,8.7
6.1,Hanoi,7.8,Vietnam,7.4,7.9,Hanoi Airport Hostel,7.5,Very Good,277,7.8,7.9,7.6
7.0,Hanoi,8.0,Vietnam,5.0,10.0,Diamond Dorm,7.6,Very Good,12,9.0,7.0,7.0
4.0,Hanoi,5.0,Vietnam,5.0,8.0,Hanoi Lucky Guesthouse 2,6.0,Good,128,7.0,7.7,5.7
9.5,Hanoi,10.0,Vietnam,10.0,10.0,The Chi Novel Hostel,9.9,Superb,16,10.0,10.0,10.0
5.0,Hanoi,5.0,Vietnam,5.0,5.0,Hanoi Pho Hotel,6.6,Good,105,8.0,10.0,8.0
5.4,Hanoi,7.4,Vietnam,7.7,9.1,Ibiz City Hostel,7.4,Very Good,71,7.4,8.0,6.6
9.7,Hanoi,10.0,Vietnam,9.4,9.7,Khan Hoang Capsule Hotel,9.8,Superb,8,10.0,10.0,9.4
7.0,Hanoi,8.1,Vietnam,7.4,9.0,Halley Hostel and Spa Hanoi,8.2,Fabulous,72,8.2,9.1,8.5
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Pegasy Apartment Westlake,10.0,Superb,4,10.0,10.0,10.0
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Luxury Hotel,10.0,Superb,13,10.0,10.0,10.0
7.2,Hanoi,7.2,Vietnam,7.2,8.4,Indochina Airport Hotel,7.8,Very Good,15,8.8,8.0,7.6
8.0,Hanoi,8.0,Vietnam,7.7,7.3,Long Bien Bridge Villa,8.1,Fabulous,6,8.7,8.3,9.0
7.9,Hanoi,9.1,Vietnam,8.8,9.8,Tabalo Hostel Hanoi,9.1,Superb,83,9.7,9.5,9.2
8.5,Hanoi,10.0,Vietnam,10.0,9.0,The Eighty8 Hanoi,9.6,Superb,4,10.0,10.0,9.5
7.5,Hanoi,6.0,Vietnam,7.5,9.5,Hanoi Golden Hostel,7.9,Very Good,37,8.5,9.5,7.0
6.7,Hanoi,7.3,Vietnam,7.3,9.3,Especen Hotel,8.0,Fabulous,32,7.3,8.7,9.3
7.0,Hanoi,9.0,Vietnam,8.0,9.0,Hanoi Buddy Inn & Travel,8.9,Fabulous,89,10.0,9.0,10.0
8.0,Hanoi,6.0,Vietnam,8.0,8.0,Golden Time Hostel 3,7.7,Very Good,125,8.0,8.0,8.0
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Friends Inn & Travel,10.0,Superb,533,10.0,10.0,10.0
,Hanoi,,Vietnam,,,Pavilion Hotel and Travel,,No Rating,45,,,
8.5,Hanoi,8.5,Vietnam,8.5,9.5,Hanoi Brother Inn & Travel,9.0,Superb,936,9.0,9.5,9.5
8.0,Hanoi,9.3,Vietnam,8.0,8.0,Le Plateau Hostel,8.7,Fabulous,18,8.0,9.3,10.0
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Labevie Hotel,10.0,Superb,30,10.0,10.0,10.0
,Hanoi,,Vietnam,,,Hanoi Aria Central Hotel & Spa,8.6,Fabulous,1,,,
7.0,Hanoi,7.0,Vietnam,7.0,10.0,Golden Time Hostel,7.7,Very Good,342,8.0,8.0,7.0
8.7,Hanoi,10.0,Vietnam,8.0,10.0,BC Family Homestay - Hoan Kiem Lakeside,9.0,Superb,79,9.3,8.7,8.7
7.0,Hanoi,9.0,Vietnam,7.0,9.0,Hanoi Hostel,8.0,Fabulous,634,9.0,7.0,8.0
2.0,Hanoi,2.0,Vietnam,2.0,2.0,Hanoi Street View Hotel,2.0,Rating,6,2.0,2.0,2.0
3.0,Hanoi,6.0,Vietnam,7.0,6.0,Diamond Legend Hotel,6.0,Good,53,7.0,6.0,7.0
,Hanoi,,Vietnam,,,IVINA Hub,,No Rating,0,,,
8.0,Hanoi,8.0,Vietnam,10.0,10.0,Ha Noi Lantern Dorm,8.9,Fabulous,11,8.0,8.0,10.0
8.0,Hanoi,8.0,Vietnam,9.0,9.0,Hanoi Serendipity Hotel,8.4,Fabulous,531,9.0,9.0,7.0
7.0,Hanoi,9.0,Vietnam,9.5,8.0,Hanoi Old Town Palace Guesthouse,8.4,Fabulous,17,8.5,7.5,9.0
,Hanoi,,Vietnam,,,Hanoi Cozy Hostel,6.0,Good,4,,,
8.0,Hanoi,9.0,Vietnam,9.0,7.0,Anova Hotel,8.6,Fabulous,8,9.0,9.0,9.0
8.7,Hanoi,10.0,Vietnam,8.7,9.3,Hanoi Banana Hostel,9.0,Superb,5,9.3,8.7,8.7
,Hanoi,,Vietnam,,,Hanoi Serenity Hotel 2,,No Rating,1,,,
8.0,Hanoi,10.0,Vietnam,10.0,10.0,Hanoi Genial Hotel,9.4,Superb,3,8.0,10.0,10.0
4.0,Hanoi,4.0,Vietnam,4.0,8.0,The Art Classic Hotel & Spa,5.1,Rating,4,8.0,4.0,4.0
,Hanoi,,Vietnam,,,Upstair Hostel,5.1,Rating,3,,,
7.0,Hanoi,7.0,Vietnam,9.0,10.0,Little Diamond Hotel,8.7,Fabulous,4,10.0,10.0,8.0
6.0,Hanoi,6.0,Vietnam,10.0,10.0,Senco Female Hostel,8.9,Fabulous,10,10.0,10.0,10.0
10.0,Hanoi,8.0,Vietnam,10.0,10.0,Mayflower Hotel Hanoi,9.7,Superb,1,10.0,10.0,10.0
,Hanoi,,Vietnam,,,Luxury Condotel Vinhomes Skylake Keangnam,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi Time Guesthouse & Travel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Real Hanoi Hotel,,No Rating,80,,,
,Hanoi,,Vietnam,,,Hanoian Angel Hotel & Spa,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi Amore Hotel & Travel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi Asia Guest House,,No Rating,36,,,
,Hanoi,,Vietnam,,,Hanoi Lotus Hostel,,No Rating,119,,,
,Hanoi,,Vietnam,,,Blue Hanoi Hotel,,No Rating,0,,,
8.0,Hanoi,8.0,Vietnam,6.0,10.0,Hanoi Street Hotel,7.4,Very Good,24,8.0,6.0,6.0
,Hanoi,,Vietnam,,,Hanoi Lele & Frog Hostel,,No Rating,1,,,
,Hanoi,,Vietnam,,,Hanoi Garden House and Travel,,No Rating,0,,,
8.0,Hanoi,6.0,Vietnam,8.0,10.0,Hanoi Cozy House,8.6,Fabulous,2,10.0,10.0,8.0
9.0,Hanoi,10.0,Vietnam,9.0,10.0,Hanoi Old Quarter Homestay,9.4,Superb,9,10.0,9.0,9.0
,Hanoi,,Vietnam,,,Nevaeh Hotel - Spa Hanoi,,No Rating,0,,,
4.0,Hanoi,10.0,Vietnam,8.0,8.0,Hanoi Oriental Pearl Hotel,7.1,Very Good,6,8.0,6.0,6.0
,Hanoi,,Vietnam,,,Hanoi Vision Boutique Hotel,,No Rating,14,,,
6.7,Hanoi,8.0,Vietnam,7.3,9.3,Little Hanoi Diamond,8.4,Fabulous,750,9.3,9.3,8.7
,Hanoi,,Vietnam,,,Mochi Homestay Hanoi,10.0,Superb,1,,,
,Hanoi,,Vietnam,,,Family Transit Hostel,,No Rating,0,,,
9.0,Hanoi,8.0,Vietnam,9.0,9.0,North Hotel No 2,8.7,Fabulous,70,8.0,10.0,8.0
,Hanoi,,Vietnam,,,BC Family Homestay Apartment - Hanoi Center,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hoan Kiem Homestay,,No Rating,0,,,
7.0,Hanoi,10.0,Vietnam,8.0,8.0,3s Boutique Hotel,8.9,Fabulous,2,10.0,10.0,9.0
,Hanoi,,Vietnam,,,ChayBay Homestay Ecopark,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi La Vision Hotel,,No Rating,0,,,
7.0,Hanoi,8.0,Vietnam,7.0,9.0,Hanoi Rendezvous Hotel,7.6,Very Good,564,7.0,7.0,8.0
,Hanoi,,Vietnam,,,Hanoi Exclusive Hotel,,No Rating,0,,,
8.8,Hanoi,9.2,Vietnam,8.4,8.8,Tuna Homestay,9.0,Superb,9,9.6,9.2,8.8
,Hanoi,,Vietnam,,,Hanoi Golden Holiday Hotel,,No Rating,2,,,
2.0,Hanoi,2.0,Vietnam,2.0,2.0,D'Annam Hostel Hanoi,2.0,Rating,36,2.0,2.0,2.0
,Hanoi,,Vietnam,,,La Dolce Vita Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hanoi Winter Hostel,,No Rating,288,,,
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Hanoi Hotel Royal,10.0,Superb,4,10.0,10.0,10.0
,Hanoi,,Vietnam,,,Hanoi Gem Boutique Hotel,,No Rating,1,,,
,Hanoi,,Vietnam,,,Hanoi Family Homestay,,No Rating,0,,,
,Hanoi,,Vietnam,,,Ruby Lakeview Homestay,,No Rating,0,,,
,Hanoi,,Vietnam,,,Cosiana Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hoa Lan Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,VATC SleepPod Terminal 2,,No Rating,3,,,
,Hanoi,,Vietnam,,,Hanoi Finnegans Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Hestia Legend Hotel,,No Rating,0,,,
,Hanoi,,Vietnam,,,Aquarius Grand Hotel,,No Rating,2,,,
,Hanoi,,Vietnam,,,Splendid Star Boutique Hotel,,No Rating,2,,,
,Hanoi,,Vietnam,,,Hanoi La Cascada House & Travel,,No Rating,0,,,
6.0,Hanoi,8.0,Vietnam,10.0,10.0,Heart Hotel,8.9,Fabulous,64,10.0,10.0,8.0
6.0,Hanoi,8.0,Vietnam,8.0,10.0,Ancient Town Hotel,8.3,Fabulous,3,10.0,10.0,6.0
,Hanoi,,Vietnam,,,Hanoi Discovery II Hotel,,No Rating,37,,,
,Hanoi,,Vietnam,,,Tony House Hostel,4.6,Rating,1,,,
6.0,Hanoi,5.0,Vietnam,5.0,8.0,Hanoi Ecogreen Hostel,6.1,Good,5,7.0,6.0,6.0
,Hanoi,,Vietnam,,,Hanna Studio,,No Rating,0,,,
